"ID","Opportunity Name","AccountId","Amount","Close Date","Stage","Product","Sales Agent","Opportunity_ID__c","STATUS"
"006i80000007P1hAAE","Cancity - GTX Plus Basic","001i8000001ALqYAAW","1054.0","2017-03-01","Closed Won","GTX Plus Basic","Moses Frase","1C1I7A6R","Item Created"
"006i80000007P1iAAE","Isdom - GTX Pro","001i8000001AkfjAAC","4514.0","2017-03-11","Closed Won","GTX Pro","Darcel Schlecht","Z063OYW0","Item Created"
"006i80000007P1jAAE","Cancity - MG Special","001i8000001ALqYAAW","50.0","2017-03-07","Closed Won","MG Special","Darcel Schlecht","EC4QE1BX","Item Created"
"006i80000007P1kAAE","Codehow - GTX Basic","001i8000001ALqaAAG","588.0","2017-03-09","Closed Won","GTX Basic","Moses Frase","MV1LWRNH","Item Created"
"006i80000007P1lAAE","Hatfan - GTX Basic","001i8000001AkfgAAC","517.0","2017-03-02","Closed Won","GTX Basic","Zane Levy","PE84CX4O","Item Created"
"006i80000007P1mAAE","Ron-tech - MG Special","001i8000001Akg3AAC","49.0","2017-03-01","Closed Won","MG Special","Anna Snelling","ZNBS69V1","Item Created"
"006i80000007P1nAAE","J-Texon - MG Special","001i8000001AkflAAC","57.0","2017-03-02","Closed Won","MG Special","Vicki Laflamme","9ME3374G","Item Created"
"006i80000007P1oAAE","Cheers - GTX Basic","001i8000001ALqZAAW","601.0","2017-03-07","Closed Won","GTX Basic","Markita Hansen","7GN8Q4LL","Item Created"
"006i80000007P1pAAE","Zumgoity - GTX Plus Basic","001i8000001AkgTAAS","1026.0","2017-03-03","Closed Won","GTX Plus Basic","Niesha Huffines","OLK9LKZB","Item Created"
"006i80000007P1qAAE","Bioholding - MG Special","001i8000001ALqTAAW","53.0","2017-03-10","Closed Won","MG Special","Anna Snelling","NL3JZH1Z","Item Created"
"006i80000007P1rAAE","Genco Pura Olive Oil Company - GTX Pro","001i8000001AkfZAAS","0.0","2017-03-18","Closed Lost","GTX Pro","Gladys Colclough","KWVA7VR1","Item Created"
"006i80000007P1sAAE","Sunnamplex - GTX Plus Pro","001i8000001AkgEAAS","5169.0","2017-03-10","Closed Won","GTX Plus Pro","James Ascencio","S8DX3XOU","Item Created"
"006i80000007P1tAAE","Sonron - GTX Plus Pro","001i8000001Akg9AAC","4631.0","2017-03-06","Closed Won","GTX Plus Pro","Maureen Marcano","ENB2XD8G","Item Created"
"006i80000007P1uAAE","Finjob - MG Advanced","001i8000001AkfVAAS","3393.0","2017-03-11","Closed Won","MG Advanced","Hayden Neloms","09YE9QOV","Item Created"
"006i80000007P1vAAE","Sonron - MG Special","001i8000001Akg9AAC","0.0","2017-03-03","Closed Lost","MG Special","Rosalina Dieter","3F5MZNEH","Item Created"
"006i80000007P1wAAE","Scotfind - MG Advanced","001i8000001Akg5AAC","3284.0","2017-03-06","Closed Won","MG Advanced","Rosalina Dieter","M6WEJXC0","Item Created"
"006i80000007P1xAAE","Treequote - MG Special","001i8000001AkgHAAS","61.0","2017-03-05","Closed Won","MG Special","Versie Hillebrand","6PTR7VBR","Item Created"
"006i80000007P1yAAE","Xx-zobam - GTX Pro","001i8000001AkgMAAS","0.0","2017-03-09","Closed Lost","GTX Pro","Daniell Hammack","902REDPA","Item Created"
"006i80000007P1zAAE","Rantouch - MG Special","001i8000001Akg2AAC","46.0","2017-03-08","Closed Won","MG Special","Elease Gluck","5J9CMGDV","Item Created"
"006i80000007P20AAE","Fasehatice - GTX Plus Pro","001i8000001AkfSAAS","0.0","2017-03-17","Closed Lost","GTX Plus Pro","James Ascencio","JJXRR8R6","Item Created"
"006i80000007P21AAE","Ron-tech - MG Special","001i8000001Akg3AAC","50.0","2017-03-18","Closed Won","MG Special","Moses Frase","WF4HA5NW","Item Created"
"006i80000007P22AAE","Vehement Capital Partners - GTX Plus Basic","001i8000001AkgJAAS","1014.0","2017-03-11","Closed Won","GTX Plus Basic","Violet Mclelland","C5K2JP1H","Item Created"
"006i80000007P23AAE","Warephase - GTX Basic","001i8000001AkgKAAS","561.0","2017-03-26","Closed Won","GTX Basic","Darcel Schlecht","ADRB8OMB","Item Created"
"006i80000007P24AAE","Zoomit - GTX Basic","001i8000001AkgRAAS","590.0","2017-03-23","Closed Won","GTX Basic","Kami Bicknell","SBCR987L","Item Created"
"006i80000007P25AAE","Ganjaflex - MG Advanced","001i8000001AkfXAAS","3393.0","2017-02-08","Negotiation/Review","MG Advanced","Maureen Marcano","UP409DSB","Item Created"
"006i80000007P26AAE","Bioholding - MG Special","001i8000001ALqTAAW","61.0","2017-03-12","Closed Won","MG Special","Versie Hillebrand","JSD4APT2","Item Created"
"006i80000007P27AAE","Xx-zobam - GTX Plus Pro","001i8000001AkgMAAS","0.0","2017-03-11","Closed Lost","GTX Plus Pro","Violet Mclelland","AO9Z2D17","Item Created"
"006i80000007P28AAE","Cheers - MG Special","001i8000001ALqZAAW","58.0","2017-03-05","Closed Won","MG Special","Elease Gluck","5M58DTJK","Item Created"
"006i80000007P29AAE","Labdrill - GTX Pro","001i8000001AkfqAAC","4899.0","2017-03-14","Closed Won","GTX Pro","Maureen Marcano","KNY1OSAB","Item Created"
"006i80000007P2AAAU","Zotware - MG Advanced","001i8000001AkgSAAS","0.0","2017-03-01","Closed Lost","MG Advanced","Rosie Papadopoulos","EAZDUUM9","Item Created"
"006i80000007P2BAAU","dambase - MG Special","001i8000001AkfMAAS","67.0","2017-03-03","Closed Won","MG Special","Versie Hillebrand","2STUSOFE","Item Created"
"006i80000007P2CAAU","Xx-holding - GTX Pro","001i8000001AkgLAAS","4338.0","2017-03-06","Closed Won","GTX Pro","James Ascencio","JYKM0B00","Item Created"
"006i80000007P2DAAU","Fasehatice - GTX Basic","001i8000001AkfSAAS","578.0","2017-03-19","Closed Won","GTX Basic","Kary Hendrixson","KU28360J","Item Created"
"006i80000007P2EAAU","Acme Corporation - GTX Basic","001i8000001ALqQAAW","556.0","2017-03-01","Closed Won","GTX Basic","Reed Clapper","N4SD17JR","Item Created"
"006i80000007P2FAAU","Green-Plus - GTX Basic","001i8000001AkfeAAC","635.0","2017-03-03","Closed Won","GTX Basic","Rosalina Dieter","E67P9Y3Q","Item Created"
"006i80000007P2GAAU","The New York Inquirer - MG Advanced","001i8000001AkgFAAS","3045.0","2017-03-07","Closed Won","MG Advanced","Wilburn Farren","AT3MMVIS","Item Created"
"006i80000007P2HAAU","Mathtouch - GTX Plus Basic","001i8000001AkftAAC","1233.0","2017-03-14","Closed Won","GTX Plus Basic","Garret Kinder","REJ11LRY","Item Created"
"006i80000007P2IAAU","Zumgoity - MG Special","001i8000001AkgTAAS","60.0","2017-03-09","Closed Won","MG Special","Versie Hillebrand","ERV0CAZ7","Item Created"
"006i80000007P2JAAU","Gogozoom - MG Special","001i8000001AkfbAAC","0.0","2017-03-30","Closed Lost","MG Special","Anna Snelling","8SOQADK7","Item Created"
"006i80000007P2KAAU","Stanredtax - GTX Basic","001i8000001AkgAAAS","0.0","2017-03-08","Closed Lost","GTX Basic","Darcel Schlecht","TCHFT25B","Item Created"
"006i80000007P2LAAU","Konmatfix - GTX Plus Basic","001i8000001AkfpAAC","1170.0","2017-03-20","Closed Won","GTX Plus Basic","Darcel Schlecht","CZVN09WN","Item Created"
"006i80000007P2MAAU","Genco Pura Olive Oil Company - GTX Plus Basic","001i8000001AkfZAAS","1162.0","2017-03-20","Closed Won","GTX Plus Basic","Marty Freudenburg","30UQWUKB","Item Created"
"006i80000007P2NAAU","Conecom - MG Advanced","001i8000001AkfKAAS","3725.0","2017-03-14","Closed Won","MG Advanced","Darcel Schlecht","97UN20YY","Item Created"
"006i80000007P2OAAU","Golddex - GTX Basic","001i8000001AkfcAAC","559.0","2017-03-31","Closed Won","GTX Basic","Kary Hendrixson","JXLERZ9O","Item Created"
"006i80000007P2PAAU","Plexzap - GTX Basic","001i8000001AkfyAAC","0.0","2017-03-11","Closed Lost","GTX Basic","Rosalina Dieter","6ROE69W5","Item Created"
"006i80000007P2QAAU","Rundofase - GTX Plus Basic","001i8000001Akg4AAC","0.0","2017-03-21","Closed Lost","GTX Plus Basic","Darcel Schlecht","0DFXFKT7","Item Created"
"006i80000007P2RAAU","Sonron - GTX Plus Pro","001i8000001Akg9AAC","4667.0","2017-03-05","Closed Won","GTX Plus Pro","James Ascencio","XKMZVSN4","Item Created"
