Opportunity Name,AccountId,Amount,Close Date,Stage,Product,Sales Agent,Opportunity_ID__c
Cancity - GTX Plus Basic,001i8000001ALqYAAW,1054.0,2017-03-01,Closed Won,GTX Plus Basic,Moses Frase,1C1I7A6R
Isdom - GTX Pro,001i8000001AkfjAAC,4514.0,2017-03-11,Closed Won,GTX Pro,Darcel Schlecht,Z063OYW0
Cancity - MG Special,001i8000001ALqYAAW,50.0,2017-03-07,Closed Won,MG Special,Darcel Schlecht,EC4QE1BX
Codehow - GTX Basic,001i8000001ALqaAAG,588.0,2017-03-09,Closed Won,GTX Basic,Moses Frase,MV1LWRNH
Hatfan - GTX Basic,001i8000001AkfgAAC,517.0,2017-03-02,Closed Won,GTX Basic,Zane Levy,PE84CX4O
Ron-tech - MG Special,001i8000001Akg3AAC,49.0,2017-03-01,Closed Won,MG Special,Anna Snelling,ZNBS69V1
J-Texon - MG Special,001i8000001AkflAAC,57.0,2017-03-02,Closed Won,MG Special,Vicki Laflamme,9ME3374G
Cheers - GTX Basic,001i8000001ALqZAAW,601.0,2017-03-07,Closed Won,GTX Basic,Markita Hansen,7GN8Q4LL
Zumgoity - GTX Plus Basic,001i8000001AkgTAAS,1026.0,2017-03-03,Closed Won,GTX Plus Basic,Niesha Huffines,OLK9LKZB
Bioholding - MG Special,001i8000001ALqTAAW,53.0,2017-03-10,Closed Won,MG Special,Anna Snelling,NL3JZH1Z
Genco Pura Olive Oil Company - GTX Pro,001i8000001AkfZAAS,0.0,2017-03-18,Closed Lost,GTX Pro,Gladys Colclough,KWVA7VR1
Sunnamplex - GTX Plus Pro,001i8000001AkgEAAS,5169.0,2017-03-10,Closed Won,GTX Plus Pro,James Ascencio,S8DX3XOU
Sonron - GTX Plus Pro,001i8000001Akg9AAC,4631.0,2017-03-06,Closed Won,GTX Plus Pro,Maureen Marcano,ENB2XD8G
Finjob - MG Advanced,001i8000001AkfVAAS,3393.0,2017-03-11,Closed Won,MG Advanced,Hayden Neloms,09YE9QOV
Sonron - MG Special,001i8000001Akg9AAC,0.0,2017-03-03,Closed Lost,MG Special,Rosalina Dieter,3F5MZNEH
Scotfind - MG Advanced,001i8000001Akg5AAC,3284.0,2017-03-06,Closed Won,MG Advanced,Rosalina Dieter,M6WEJXC0
Treequote - MG Special,001i8000001AkgHAAS,61.0,2017-03-05,Closed Won,MG Special,Versie Hillebrand,6PTR7VBR
Xx-zobam - GTX Pro,001i8000001AkgMAAS,0.0,2017-03-09,Closed Lost,GTX Pro,Daniell Hammack,902REDPA
Rantouch - MG Special,001i8000001Akg2AAC,46.0,2017-03-08,Closed Won,MG Special,Elease Gluck,5J9CMGDV
Fasehatice - GTX Plus Pro,001i8000001AkfSAAS,0.0,2017-03-17,Closed Lost,GTX Plus Pro,James Ascencio,JJXRR8R6
Ron-tech - MG Special,001i8000001Akg3AAC,50.0,2017-03-18,Closed Won,MG Special,Moses Frase,WF4HA5NW
Vehement Capital Partners - GTX Plus Basic,001i8000001AkgJAAS,1014.0,2017-03-11,Closed Won,GTX Plus Basic,Violet Mclelland,C5K2JP1H
Warephase - GTX Basic,001i8000001AkgKAAS,561.0,2017-03-26,Closed Won,GTX Basic,Darcel Schlecht,ADRB8OMB
Zoomit - GTX Basic,001i8000001AkgRAAS,590.0,2017-03-23,Closed Won,GTX Basic,Kami Bicknell,SBCR987L
Ganjaflex - MG Advanced,001i8000001AkfXAAS,3393.0,2017-02-08,Negotiation/Review,MG Advanced,Maureen Marcano,UP409DSB
Bioholding - MG Special,001i8000001ALqTAAW,61.0,2017-03-12,Closed Won,MG Special,Versie Hillebrand,JSD4APT2
Xx-zobam - GTX Plus Pro,001i8000001AkgMAAS,0.0,2017-03-11,Closed Lost,GTX Plus Pro,Violet Mclelland,AO9Z2D17
Cheers - MG Special,001i8000001ALqZAAW,58.0,2017-03-05,Closed Won,MG Special,Elease Gluck,5M58DTJK
Labdrill - GTX Pro,001i8000001AkfqAAC,4899.0,2017-03-14,Closed Won,GTX Pro,Maureen Marcano,KNY1OSAB
Zotware - MG Advanced,001i8000001AkgSAAS,0.0,2017-03-01,Closed Lost,MG Advanced,Rosie Papadopoulos,EAZDUUM9
dambase - MG Special,001i8000001AkfMAAS,67.0,2017-03-03,Closed Won,MG Special,Versie Hillebrand,2STUSOFE
Xx-holding - GTX Pro,001i8000001AkgLAAS,4338.0,2017-03-06,Closed Won,GTX Pro,James Ascencio,JYKM0B00
Fasehatice - GTX Basic,001i8000001AkfSAAS,578.0,2017-03-19,Closed Won,GTX Basic,Kary Hendrixson,KU28360J
Acme Corporation - GTX Basic,001i8000001ALqQAAW,556.0,2017-03-01,Closed Won,GTX Basic,Reed Clapper,N4SD17JR
Green-Plus - GTX Basic,001i8000001AkfeAAC,635.0,2017-03-03,Closed Won,GTX Basic,Rosalina Dieter,E67P9Y3Q
The New York Inquirer - MG Advanced,001i8000001AkgFAAS,3045.0,2017-03-07,Closed Won,MG Advanced,Wilburn Farren,AT3MMVIS
Mathtouch - GTX Plus Basic,001i8000001AkftAAC,1233.0,2017-03-14,Closed Won,GTX Plus Basic,Garret Kinder,REJ11LRY
Zumgoity - MG Special,001i8000001AkgTAAS,60.0,2017-03-09,Closed Won,MG Special,Versie Hillebrand,ERV0CAZ7
Gogozoom - MG Special,001i8000001AkfbAAC,0.0,2017-03-30,Closed Lost,MG Special,Anna Snelling,8SOQADK7
Stanredtax - GTX Basic,001i8000001AkgAAAS,0.0,2017-03-08,Closed Lost,GTX Basic,Darcel Schlecht,TCHFT25B
Konmatfix - GTX Plus Basic,001i8000001AkfpAAC,1170.0,2017-03-20,Closed Won,GTX Plus Basic,Darcel Schlecht,CZVN09WN
Genco Pura Olive Oil Company - GTX Plus Basic,001i8000001AkfZAAS,1162.0,2017-03-20,Closed Won,GTX Plus Basic,Marty Freudenburg,30UQWUKB
Conecom - MG Advanced,001i8000001AkfKAAS,3725.0,2017-03-14,Closed Won,MG Advanced,Darcel Schlecht,97UN20YY
Golddex - GTX Basic,001i8000001AkfcAAC,559.0,2017-03-31,Closed Won,GTX Basic,Kary Hendrixson,JXLERZ9O
Plexzap - GTX Basic,001i8000001AkfyAAC,0.0,2017-03-11,Closed Lost,GTX Basic,Rosalina Dieter,6ROE69W5
Rundofase - GTX Plus Basic,001i8000001Akg4AAC,0.0,2017-03-21,Closed Lost,GTX Plus Basic,Darcel Schlecht,0DFXFKT7
Sonron - GTX Plus Pro,001i8000001Akg9AAC,4667.0,2017-03-05,Closed Won,GTX Plus Pro,James Ascencio,XKMZVSN4
Finhigh - GTX Plus Basic,001i8000001AkfUAAS,903.0,2017-03-17,Closed Won,GTX Plus Basic,Marty Freudenburg,IU8V0BZK
Finjob - GTX Plus Basic,001i8000001AkfVAAS,1180.0,2017-03-13,Closed Won,GTX Plus Basic,Maureen Marcano,XY42936P
Ron-tech - GTX Basic,001i8000001Akg3AAC,487.0,2017-03-05,Closed Won,GTX Basic,Niesha Huffines,XRN54MBM
Stanredtax - MG Advanced,001i8000001AkgAAAS,3180.0,2017-03-04,Closed Won,MG Advanced,Lajuana Vencill,2V848WZD
Funholding - GTX Pro,001i8000001AkfWAAS,0.0,2017-03-17,Closed Lost,GTX Pro,Darcel Schlecht,ONYNTUCG
Gogozoom - MG Advanced,001i8000001AkfbAAC,3563.0,2017-03-18,Closed Won,MG Advanced,Darcel Schlecht,HIOHX80Y
Opentech - GTX Pro,001i8000001AkfxAAC,4704.0,2017-03-23,Closed Won,GTX Pro,Boris Faz,LPKT07PV
Silis - GTX Plus Pro,001i8000001Akg7AAC,5585.0,2017-03-14,Closed Won,GTX Plus Pro,Donn Cantrell,WPB2SLIG
Zoomit - GTK 500,001i8000001AkgRAAS,25897.0,2017-03-09,Closed Won,GTK 500,Elease Gluck,XUSUEAV7
Goodsilron - GTX Plus Basic,001i8000001AkfdAAC,1207.0,2017-03-03,Closed Won,GTX Plus Basic,Kami Bicknell,3TYPII47
Cancity - MG Advanced,001i8000001ALqYAAW,0.0,2017-03-08,Closed Lost,MG Advanced,Lajuana Vencill,7WAX8Z8O
Rangreen - GTX Basic,001i8000001Akg1AAC,559.0,2017-03-04,Closed Won,GTX Basic,Lajuana Vencill,MYDUMR3R
Green-Plus - GTX Basic,001i8000001AkfeAAC,550.0,2017-02-18,Negotiation/Review,GTX Basic,Maureen Marcano,0DRC1U9Q
dambase - GTX Plus Basic,001i8000001AkfMAAS,1033.0,2017-03-09,Closed Won,GTX Plus Basic,Niesha Huffines,37JFKD4I
Kan-code - GTX Basic,001i8000001AkfmAAC,462.0,2017-03-21,Closed Won,GTX Basic,Donn Cantrell,25YKPHX8
Nam-zim - MG Advanced,001i8000001AkfuAAC,0.0,2017-03-01,Closed Lost,MG Advanced,Hayden Neloms,BXXMA7F3
Y-corporation - GTX Pro,001i8000001AkgNAAS,5539.0,2017-03-14,Closed Won,GTX Pro,Kary Hendrixson,GIUUTBXM
Ron-tech - MG Advanced,001i8000001Akg3AAC,3573.0,2017-03-15,Closed Won,MG Advanced,Lajuana Vencill,MFX2LR1Q
Conecom - GTX Pro,001i8000001AkfKAAS,4926.0,2017-03-01,Closed Won,GTX Pro,Marty Freudenburg,DUHE9FLY
Sunnamplex - GTX Plus Basic,001i8000001AkgEAAS,0.0,2017-03-17,Closed Lost,GTX Plus Basic,Zane Levy,96BSG7R1
Bioplex - MG Special,001i8000001ALqUAAW,62.0,2017-03-04,Closed Won,MG Special,Corliss Cosme,7FQMSWIX
Gogozoom - GTX Pro,001i8000001AkfbAAC,4359.0,2017-03-14,Closed Won,GTX Pro,Darcel Schlecht,C20AVXN7
Plusstrip - GTX Basic,001i8000001AkfzAAC,566.0,2017-03-31,Closed Won,GTX Basic,Kami Bicknell,GS1QVWCR
Toughzap - GTX Basic,001i8000001AkgGAAS,508.0,2017-03-03,Closed Won,GTX Basic,Marty Freudenburg,ZWH8FXY3
Vehement Capital Partners - MG Advanced,001i8000001AkgJAAS,0.0,2017-03-20,Closed Lost,MG Advanced,Rosie Papadopoulos,2U94Y3Q9
Codehow - MG Special,001i8000001ALqaAAG,51.0,2017-03-11,Closed Won,MG Special,Versie Hillebrand,AAR79NOO
Dalttechnology - GTX Pro,001i8000001AkfLAAS,4899.0,2017-03-05,Closed Won,GTX Pro,Vicki Laflamme,B6B0PNR2
Cheers - GTX Basic,001i8000001ALqZAAW,550.0,2017-02-21,Negotiation/Review,GTX Basic,Corliss Cosme,M7I5O9YU
Ontomedia - GTX Plus Pro,001i8000001AkfwAAC,5790.0,2017-03-03,Closed Won,GTX Plus Pro,Corliss Cosme,LXZA2OSZ
Kinnamplus - MG Special,001i8000001AkfnAAC,0.0,2017-03-30,Closed Lost,MG Special,Donn Cantrell,N0ONCYVZ
Codehow - GTX Pro,001i8000001ALqaAAG,4438.0,2017-03-03,Closed Won,GTX Pro,Gladys Colclough,513DPFX5
Finhigh - MG Advanced,001i8000001AkfUAAS,2972.0,2017-03-17,Closed Won,MG Advanced,Gladys Colclough,RU023K5W
Lexiqvolax - MG Special,001i8000001AkfrAAC,55.0,2017-02-21,Negotiation/Review,MG Special,Markita Hansen,VDIU10RV
Y-corporation - GTX Basic,001i8000001AkgNAAS,523.0,2017-03-01,Closed Won,GTX Basic,Markita Hansen,BZCBQ514
Statholdings - MG Advanced,001i8000001AkgBAAS,3647.0,2017-03-25,Closed Won,MG Advanced,Anna Snelling,HEE6P0QH
Umbrella Corporation - MG Advanced,001i8000001AkgIAAS,4200.0,2017-03-01,Closed Won,MG Advanced,Cassey Cress,L8CHRJ2B
J-Texon - GTX Plus Basic,001i8000001AkflAAC,1096.0,2017-02-22,Negotiation/Review,GTX Plus Basic,Daniell Hammack,579LZ3F9
Bubba Gump - GTX Plus Basic,001i8000001ALqXAAW,1096.0,2017-02-22,Negotiation/Review,GTX Plus Basic,Kami Bicknell,SU8JNMP4
Faxquote - GTX Plus Basic,001i8000001AkfTAAS,1059.0,2017-03-28,Closed Won,GTX Plus Basic,Kami Bicknell,V2X2KMUR
Codehow - GTX Plus Basic,001i8000001ALqaAAG,0.0,2017-03-05,Closed Lost,GTX Plus Basic,Marty Freudenburg,AJIPJP75
Dontechi - MG Special,001i8000001AkfQAAS,57.0,2017-03-02,Closed Won,MG Special,Versie Hillebrand,NYVA2G6U
Konex - MG Advanced,001i8000001AkfoAAC,3671.0,2017-03-27,Closed Won,MG Advanced,Vicki Laflamme,FF45BXTL
Treequote - MG Special,001i8000001AkgHAAS,58.0,2017-03-01,Closed Won,MG Special,Anna Snelling,TTA9LYBS
Treequote - MG Advanced,001i8000001AkgHAAS,3956.0,2017-03-06,Closed Won,MG Advanced,Cecily Lampkin,PAGZQH8L
Betasoloin - GTX Plus Pro,001i8000001ALqRAAW,5964.0,2017-03-01,Closed Won,GTX Plus Pro,Corliss Cosme,J7YF6DS7
Betasoloin - GTX Pro,001i8000001ALqRAAW,4570.0,2017-03-06,Closed Won,GTX Pro,Corliss Cosme,S5IXY4Z9
Domzoom - MG Special,001i8000001AkfNAAS,49.0,2017-03-27,Closed Won,MG Special,Darcel Schlecht,JQBJMETQ
Donquadtech - MG Special,001i8000001AkfPAAS,65.0,2017-03-06,Closed Won,MG Special,Violet Mclelland,0LVWSWEW
Domzoom - MG Special,001i8000001AkfNAAS,0.0,2017-03-27,Closed Lost,MG Special,Anna Snelling,K53BC1T9
Finhigh - GTX Pro,001i8000001AkfUAAS,4739.0,2017-03-08,Closed Won,GTX Pro,Darcel Schlecht,D40N5I9Y
Globex Corporation - GTX Plus Basic,001i8000001AkfaAAC,1080.0,2017-03-21,Closed Won,GTX Plus Basic,Niesha Huffines,051QTX8Z
Plussunin - MG Special,001i8000001Akg0AAC,57.0,2017-03-12,Closed Won,MG Special,Reed Clapper,5D2XH04S
Konex - GTX Basic,001i8000001AkfoAAC,469.0,2017-03-16,Closed Won,GTX Basic,Garret Kinder,V9E582SK
Condax - GTX Basic,001i8000001AkfJAAS,532.0,2017-03-03,Closed Won,GTX Basic,Kary Hendrixson,UK0LEZRJ
Opentech - MG Advanced,001i8000001AkfxAAC,3393.0,2017-02-25,Negotiation/Review,MG Advanced,Markita Hansen,PFFHM7HR
