opportunity_id,account,product,deal_stage,forecast_category,engage_date,close_date,close_value,estimated_value,sales_cycle_days,sales_agent,manager,regional_office,sector,office_location,account_revenue_millions,account_employees
1C1I7A6R,Cancity,GTX Plus Basic,Won,Closed,2016-10-20,2017-03-01,1054.0,1054.0,132.0,Moses Frase,Dustin Brinkmann,Central,retail,United States,718.62,2448.0
Z063OYW0,Isdom,GTX Pro,Won,Closed,2016-10-25,2017-03-11,4514.0,4514.0,137.0,Darcel Schlecht,Melvin Marxen,Central,medical,United States,3178.24,4540.0
EC4QE1BX,Cancity,MG Special,Won,Closed,2016-10-25,2017-03-07,50.0,50.0,133.0,Darcel Schlecht,Melvin Marxen,Central,retail,United States,718.62,2448.0
MV1LWRNH,Codehow,GTX Basic,Won,Closed,2016-10-25,2017-03-09,588.0,588.0,135.0,Moses Frase,Dustin Brinkmann,Central,software,United States,2714.9,2641.0
PE84CX4O,Hatfan,GTX Basic,Won,Closed,2016-10-25,2017-03-02,517.0,517.0,128.0,Zane Levy,Summer Sewald,West,services,United States,792.46,1299.0
ZNBS69V1,Ron-tech,MG Special,Won,Closed,2016-10-29,2017-03-01,49.0,49.0,123.0,Anna Snelling,Dustin Brinkmann,Central,medical,United States,3922.42,6837.0
9ME3374G,J-Texon,MG Special,Won,Closed,2016-10-30,2017-03-02,57.0,57.0,123.0,Vicki Laflamme,Celia Rouche,West,retail,United States,1388.67,3583.0
7GN8Q4LL,Cheers,GTX Basic,Won,Closed,2016-11-01,2017-03-07,601.0,601.0,126.0,Markita Hansen,Celia Rouche,West,entertainment,United States,4269.9,6472.0
OLK9LKZB,Zumgoity,GTX Plus Basic,Won,Closed,2016-11-01,2017-03-03,1026.0,1026.0,122.0,Niesha Huffines,Melvin Marxen,Central,medical,United States,441.08,1210.0
HAXMC4IX,,MG Advanced,Engaging,Commit,2016-11-03,,,3393.0,,James Ascencio,Summer Sewald,West,,,,
NL3JZH1Z,Bioholding,MG Special,Won,Closed,2016-11-04,2017-03-10,53.0,53.0,126.0,Anna Snelling,Dustin Brinkmann,Central,medical,Philippines,587.34,1356.0
KWVA7VR1,Genco Pura Olive Oil Company,GTX Pro,Lost,Omitted,2016-11-04,2017-03-18,0.0,0.0,134.0,Gladys Colclough,Melvin Marxen,Central,retail,Italy,894.33,1635.0
S8DX3XOU,Sunnamplex,GTX Plus Pro,Won,Closed,2016-11-04,2017-03-10,5169.0,5169.0,126.0,James Ascencio,Summer Sewald,West,marketing,Poland,894.37,1593.0
ENB2XD8G,Sonron,GTX Plus Pro,Won,Closed,2016-11-04,2017-03-06,4631.0,4631.0,122.0,Maureen Marcano,Summer Sewald,West,telecommunications,United States,1699.85,5108.0
09YE9QOV,Finjob,MG Advanced,Won,Closed,2016-11-05,2017-03-11,3393.0,3393.0,126.0,Hayden Neloms,Celia Rouche,West,employment,United States,2059.9,3644.0
3F5MZNEH,Sonron,MG Special,Lost,Omitted,2016-11-05,2017-03-03,0.0,0.0,118.0,Rosalina Dieter,Celia Rouche,West,telecommunications,United States,1699.85,5108.0
M6WEJXC0,Scotfind,MG Advanced,Won,Closed,2016-11-05,2017-03-06,3284.0,3284.0,121.0,Rosalina Dieter,Celia Rouche,West,software,United States,6354.87,16780.0
6PTR7VBR,Treequote,MG Special,Won,Closed,2016-11-06,2017-03-05,61.0,61.0,119.0,Versie Hillebrand,Dustin Brinkmann,Central,telecommunications,United States,5266.09,8595.0
902REDPA,Xx-zobam,GTX Pro,Lost,Omitted,2016-11-07,2017-03-09,0.0,0.0,122.0,Daniell Hammack,Rocco Neubert,East,entertainment,United States,3838.39,8274.0
5J9CMGDV,Rantouch,MG Special,Won,Closed,2016-11-07,2017-03-08,46.0,46.0,121.0,Elease Gluck,Celia Rouche,West,telecommunications,United States,1188.42,3015.0
JJXRR8R6,Fasehatice,GTX Plus Pro,Lost,Omitted,2016-11-07,2017-03-17,0.0,0.0,130.0,James Ascencio,Summer Sewald,West,retail,United States,4968.91,7523.0
WF4HA5NW,Ron-tech,MG Special,Won,Closed,2016-11-07,2017-03-18,50.0,50.0,131.0,Moses Frase,Dustin Brinkmann,Central,medical,United States,3922.42,6837.0
C5K2JP1H,Vehement Capital Partners,GTX Plus Basic,Won,Closed,2016-11-07,2017-03-11,1014.0,1014.0,124.0,Violet Mclelland,Cara Losch,East,finance,United States,646.1,883.0
ADRB8OMB,Warephase,GTX Basic,Won,Closed,2016-11-08,2017-03-26,561.0,561.0,138.0,Darcel Schlecht,Melvin Marxen,Central,services,United States,2041.73,5276.0
SBCR987L,Zoomit,GTX Basic,Won,Closed,2016-11-10,2017-03-23,590.0,590.0,133.0,Kami Bicknell,Summer Sewald,West,entertainment,United States,324.19,978.0
UP409DSB,Ganjaflex,MG Advanced,Engaging,Commit,2016-11-10,,,3393.0,,Maureen Marcano,Summer Sewald,West,retail,Japan,5158.71,17479.0
JSD4APT2,Bioholding,MG Special,Won,Closed,2016-11-10,2017-03-12,61.0,61.0,122.0,Versie Hillebrand,Dustin Brinkmann,Central,medical,Philippines,587.34,1356.0
AO9Z2D17,Xx-zobam,GTX Plus Pro,Lost,Omitted,2016-11-10,2017-03-11,0.0,0.0,121.0,Violet Mclelland,Cara Losch,East,entertainment,United States,3838.39,8274.0
5M58DTJK,Cheers,MG Special,Won,Closed,2016-11-11,2017-03-05,58.0,58.0,114.0,Elease Gluck,Celia Rouche,West,entertainment,United States,4269.9,6472.0
KNY1OSAB,Labdrill,GTX Pro,Won,Closed,2016-11-11,2017-03-14,4899.0,4899.0,123.0,Maureen Marcano,Summer Sewald,West,medical,United States,2741.37,9226.0
